geography,year,dataset,geoid,county_name,state_fips,county_fips,total_population_est,total_households_est,median_household_income_est,per_capita_income_est,poverty_universe_est,below_poverty_est,housing_units_est,occupancy_universe_est,occupied_units_est,vacant_units_est,tenure_universe_est,owner_occupied_est,renter_occupied_est,median_home_value_est,median_gross_rent_est,mortgage_status_universe_est,with_mortgage_est,without_mortgage_est,median_owner_cost_with_mortgage_est,median_owner_cost_without_mortgage_est,rent_pct_income_universe_est,rent_30_34_est,rent_35_39_est,rent_40_49_est,rent_50p_est,mortgage_pct_income_universe_est,mortgage_30_34_est,mortgage_35_39_est,mortgage_40_49_est,mortgage_50p_est,total_population_moe,total_households_moe,median_household_income_moe,per_capita_income_moe,poverty_universe_moe,below_poverty_moe,housing_units_moe,occupancy_universe_moe,occupied_units_moe,vacant_units_moe,tenure_universe_moe,owner_occupied_moe,renter_occupied_moe,median_home_value_moe,median_gross_rent_moe,mortgage_status_universe_moe,with_mortgage_moe,without_mortgage_moe,median_owner_cost_with_mortgage_moe,median_owner_cost_without_mortgage_moe,rent_pct_income_universe_moe,rent_30_34_moe,rent_35_39_moe,rent_40_49_moe,rent_50p_moe,mortgage_pct_income_universe_moe,mortgage_30_34_moe,mortgage_35_39_moe,mortgage_40_49_moe,mortgage_50p_moe,poverty_rate,owner_rate,renter_rate,vacant_units,vacancy_rate,affordable_monthly_30pct_income,rent_pressure,mortgage_share,owner_cost_pressure_with_mortgage,owner_cost_pressure_without_mortgage,rent_burden_30p,rent_burden_50p,mortgage_burden_30p,mortgage_burden_50p
county,2020,acs5,25021,"Norfolk County, Massachusetts",25,021,703740,267967,105320,55860,685820,41067,280180,280180,267967,12213,267967,184436,83531,491000,1682,184436,127621,56815,2624,986,83531,8964,4732,6448,18527,127621,10055,6109,7551,13290,,936,1736,780,823,2425,283,283,936,887,936,1591,1623,3543,24,1591,1707,1314,29,16,1623,849,641,538,1207,1707,870,679,821,901,0.059880,0.688279,0.311721,12213,0.043590,2633.00,0.638815,0.691953,0.996582,0.374478,0.462954,0.221798,0.289960,0.104136
county,2020,acs5,25023,"Plymouth County, Massachusetts",25,023,518597,190355,92906,45378,507382,33757,208056,208056,190355,17701,190355,146967,43388,386600,1324,146967,105537,41430,2308,866,43388,3447,3445,3270,10364,105537,8817,5602,6660,12936,,1072,2042,872,848,2320,369,369,1072,985,1072,1818,1784,3539,33,1818,1905,1203,23,15,1784,470,526,497,953,1905,861,597,735,827,0.066532,0.772068,0.227932,17701,0.085078,2322.65,0.570039,0.718100,0.993693,0.372850,0.473080,0.238868,0.322304,0.122573
county,2020,acs5,25025,"Suffolk County, Massachusetts",25,025,801162,312978,74881,44723,757069,131619,341231,341231,312978,28253,312978,113736,199242,547300,1657,113736,80394,33342,2451,836,199242,17646,12279,14384,49355,80394,6115,3990,5086,11636,,1524,1408,629,2232,4415,764,764,1524,1318,1524,1806,1922,7121,20,1806,1875,1154,29,23,1922,880,964,1101,1867,1875,556,585,545,887,0.173853,0.363399,0.636601,28253,0.082797,1872.02,0.885138,0.706847,1.309277,0.446575,0.470102,0.247714,0.333694,0.144737
county,2020,acs5,25027,"Worcester County, Massachusetts",25,027,826655,314081,77155,39113,798878,77219,336533,336533,314081,22452,314081,206343,107738,295300,1074,206343,144725,61618,1971,756,107738,10025,6679,8496,22825,144725,10671,6042,7123,13949,,1269,994,443,1348,3827,508,508,1269,1186,1269,1927,1889,2288,13,1927,1776,1619,17,10,1889,889,785,942,1071,1776,916,680,619,909,0.096659,0.656974,0.343026,22452,0.066716,1928.88,0.556801,0.701381,1.021839,0.391938,0.445757,0.211857,0.261081,0.096383
county,2021,acs1,25003,"Berkshire County, Massachusetts",25,003,128657,57765,60749,43115,122800,11976,69985,69985,57765,12220,57765,40501,17264,260000,948,40501,24703,15798,1601,683,17264,1354,1665,1308,4420,24703,1693,1081,2095,3347,,1674,2541,3355,1040,2667,595,595,1674,1599,1674,1937,1884,11970,91,1937,1928,1427,70,30,1884,622,782,678,1489,1928,570,664,759,877,0.097524,0.701134,0.298866,12220,0.174609,1518.73,0.624208,0.609936,1.054174,0.449719,0.506661,0.256024,0.332591,0.135490
county,2021,acs1,25009,"Essex County, Massachusetts",25,009,807074,309972,87433,45781,791796,75021,328553,328553,309972,18581,309972,201695,108277,529400,1458,201695,140447,61248,2469,905,108277,10453,6755,9600,31605,140447,9498,7595,8928,21649,,2203,2530,1132,1737,7907,768,768,2203,2382,2203,4097,4061,10117,44,4097,4010,3045,42,28,4061,2088,1447,1540,3037,4010,1553,1596,1427,2671,0.094748,0.650688,0.349312,18581,0.056554,2185.82,0.667025,0.696334,1.129551,0.414031,0.539477,0.291890,0.339416,0.154144
county,2021,acs1,25015,"Hampshire County, Massachusetts",25,015,161572,60870,77495,39501,137662,16270,66605,66605,60870,5735,60870,41492,19378,344000,1303,41492,25297,16195,1968,734,19378,2926,1558,1359,3858,25297,1507,645,1468,3249,,1574,5942,2049,2083,2866,891,891,1574,1281,1574,1831,1896,11561,85,1831,1718,1593,90,41,1896,820,780,704,1050,1718,537,420,633,847,0.118188,0.681649,0.318351,5735,0.086105,1937.38,0.672560,0.609684,1.015807,0.378863,0.500619,0.199092,0.271534,0.128434
county,2021,acs1,25021,"Norfolk County, Massachusetts",25,021,724505,280067,115357,62971,707454,48720,293466,293466,280067,13399,280067,191602,88465,602600,1823,191602,129748,61854,2714,1047,88465,7524,4554,6004,23248,129748,8201,4921,7555,14653,,2344,3883,1788,1782,6151,640,640,2344,2274,2344,3665,3898,11079,42,3665,3517,2758,52,34,3898,1414,1214,1566,2948,3517,1639,1163,1547,1946,0.068867,0.684129,0.315871,13399,0.045658,2883.92,0.632125,0.677175,0.941079,0.363047,0.467190,0.262793,0.272297,0.112934
county,2021,acs1,25001,"Barnstable County, Massachusetts",25,001,232411,104733,83537,52113,229562,17066,165542,165542,104733,60809,104733,86167,18566,500800,1470,86167,52604,33563,2048,787,18566,1385,1273,1859,5299,52604,3598,3020,3984,9062,,3422,3303,2245,989,3202,433,433,3422,3421,3422,3029,2203,18009,116,3029,3167,2141,82,32,2203,645,662,734,1384,3167,933,866,1244,1455,0.074342,0.822730,0.177270,60809,0.367333,2088.42,0.703880,0.610489,0.980643,0.376839,0.528708,0.285414,0.373812,0.172268
county,2021,acs1,25005,"Bristol County, Massachusetts",25,005,580164,233531,73102,38617,565927,68147,244229,244229,233531,10698,233531,144141,89390,391300,1031,144141,98418,45723,2068,762,89390,8438,5912,6174,22376,98418,7754,4152,6396,11714,,2460,4617,1290,2101,7199,805,805,2460,2302,2460,3805,3915,6921,36,3805,3715,3482,46,20,3915,1750,1394,1374,2484,3715,1490,1173,1432,1902,0.120417,0.617224,0.382776,10698,0.043803,1827.55,0.564143,0.682790,1.131570,0.416952,0.479919,0.250319,0.304985,0.119023
