geography,year,dataset,geoid,county_name,state_fips,county_fips,total_population_est,total_households_est,median_household_income_est,per_capita_income_est,poverty_universe_est,below_poverty_est,housing_units_est,occupancy_universe_est,occupied_units_est,vacant_units_est,tenure_universe_est,owner_occupied_est,renter_occupied_est,median_home_value_est,median_gross_rent_est,mortgage_status_universe_est,with_mortgage_est,without_mortgage_est,median_owner_cost_with_mortgage_est,median_owner_cost_without_mortgage_est,rent_pct_income_universe_est,rent_30_34_est,rent_35_39_est,rent_40_49_est,rent_50p_est,mortgage_pct_income_universe_est,mortgage_30_34_est,mortgage_35_39_est,mortgage_40_49_est,mortgage_50p_est,total_population_moe,total_households_moe,median_household_income_moe,per_capita_income_moe,poverty_universe_moe,below_poverty_moe,housing_units_moe,occupancy_universe_moe,occupied_units_moe,vacant_units_moe,tenure_universe_moe,owner_occupied_moe,renter_occupied_moe,median_home_value_moe,median_gross_rent_moe,mortgage_status_universe_moe,with_mortgage_moe,without_mortgage_moe,median_owner_cost_with_mortgage_moe,median_owner_cost_without_mortgage_moe,rent_pct_income_universe_moe,rent_30_34_moe,rent_35_39_moe,rent_40_49_moe,rent_50p_moe,mortgage_pct_income_universe_moe,mortgage_30_34_moe,mortgage_35_39_moe,mortgage_40_49_moe,mortgage_50p_moe,poverty_rate,owner_rate,renter_rate,vacant_units,vacancy_rate,affordable_monthly_30pct_income,rent_pressure,mortgage_share,owner_cost_pressure_with_mortgage,owner_cost_pressure_without_mortgage,rent_burden_30p,rent_burden_50p,mortgage_burden_30p,mortgage_burden_50p
county,2023,acs1,25005,"Bristol County, Massachusetts",25,005,581841,233990,81148,42385,569062,73897,245727,245727,233990,11737,233990,144367,89623,459700,1269,144367,94049,50318,2296,867,89623,8154,5410,6231,25825,94049,8409,4975,5657,11197,,2493,2111,1182,556,7086,82,82,2493,2489,2493,4141,3951,7872,50,4141,4456,3101,52,23,3951,1544,1446,1355,2910,4456,1619,1345,1674,2142,0.129858,0.616979,0.383021,11737,0.047764,2028.70,0.625524,0.651458,1.131759,0.427367,0.509021,0.288151,0.321513,0.119055
county,2023,acs1,25009,"Essex County, Massachusetts",25,009,810089,313787,96874,51263,795136,74879,330832,330832,313787,17045,313787,200210,113577,624700,1726,200210,140503,59707,2759,1073,113577,11506,8133,9985,34153,140503,10783,7301,8871,20010,,2856,3764,1501,663,8596,99,99,2856,2865,2856,4822,4979,9058,44,4822,5079,3320,54,38,4979,2251,1650,2067,3723,5079,1861,1205,1757,2690,0.094171,0.638044,0.361956,17045,0.051522,2421.85,0.712678,0.701778,1.139212,0.443050,0.561531,0.300703,0.334263,0.142417
county,2023,acs1,25011,"Franklin County, Massachusetts",25,011,70836,32430,71296,42160,70045,8382,34560,34560,32430,2130,32430,22130,10300,329300,1164,22130,12721,9409,1793,812,10300,498,884,726,3575,12721,1082,578,670,1495,,738,4373,2352,125,1497,44,44,738,740,738,1172,1057,9607,126,1172,1169,974,130,60,1057,268,483,484,854,1169,592,240,328,490,0.119666,0.682393,0.317607,2130,0.061632,1782.40,0.653052,0.574831,1.005947,0.455566,0.551748,0.347087,0.300684,0.117522
county,2023,acs1,25013,"Hampden County, Massachusetts",25,013,460291,184698,66997,37635,448227,79995,197644,197644,184698,12946,184698,115079,69619,302100,1136,115079,71388,43691,1926,830,69619,7591,4358,5601,17819,71388,6049,3657,3720,10272,,2296,4435,1834,1191,7522,102,102,2296,2315,2296,3731,3994,7268,48,3731,3619,2822,47,35,3994,1681,1275,1622,2651,3619,1474,1204,1190,2058,0.178470,0.623066,0.376934,12946,0.065502,1674.92,0.678239,0.620339,1.149902,0.495545,0.508037,0.255950,0.331961,0.143890
county,2023,acs1,25015,"Hampshire County, Massachusetts",25,015,162502,61802,79969,43499,140376,17319,67130,67130,61802,5328,61802,40448,21354,380800,1355,40448,23380,17068,2048,938,21354,1488,906,1476,5822,23380,1782,1500,1398,1841,,1787,6752,2701,314,3164,77,77,1787,1795,1787,2071,2174,13998,77,2071,2041,1497,123,58,2174,925,550,695,1502,2041,670,647,707,487,0.123376,0.654477,0.345523,5328,0.079368,1999.23,0.677763,0.578026,1.024397,0.469182,0.453873,0.272642,0.278914,0.078743
county,2023,acs1,25017,"Middlesex County, Massachusetts",25,017,1623952,632721,123705,67183,1570615,120380,666703,666703,632721,33982,632721,388553,244168,716100,2193,388553,259030,129523,3086,1176,244168,20755,16207,19364,58535,259030,16959,10974,14875,28185,,4250,3005,1078,972,9474,261,261,4250,4341,4250,5498,5930,8436,43,5498,5560,5092,52,28,5930,2449,2300,2198,4395,5560,2159,1621,2116,2874,0.076645,0.614098,0.385902,33982,0.050970,3092.62,0.709106,0.666653,0.997858,0.380259,0.470418,0.239732,0.274073,0.108810
county,2023,acs1,25021,"Norfolk County, Massachusetts",25,021,727473,286649,123903,68447,711532,55843,297313,297313,286649,10664,286649,195314,91335,686500,2081,195314,132485,62829,3038,1180,91335,8015,3794,7819,24195,132485,7088,6247,8188,16032,,2138,4251,1976,669,7084,131,131,2138,2162,2138,4658,4319,10952,74,4658,4666,3480,79,40,4319,1807,990,1961,3113,4666,1219,1419,1527,2249,0.078483,0.681370,0.318630,10664,0.035868,3097.58,0.671816,0.678318,0.980767,0.380943,0.479805,0.264904,0.283466,0.121010
county,2023,acs1,25023,"Plymouth County, Massachusetts",25,023,535308,203356,108742,55037,525165,40418,219732,219732,203356,16376,203356,158639,44717,568500,1762,158639,108140,50499,2715,1058,44717,2985,3418,4771,13841,108140,9697,5367,5122,15165,,2824,4441,1693,777,6457,78,78,2824,2819,2824,4201,3571,14401,77,4201,4326,2774,66,45,3571,1038,1286,1326,2391,4326,1598,1370,1021,2262,0.076962,0.780105,0.219895,16376,0.074527,2718.55,0.648140,0.681673,0.998694,0.389178,0.559407,0.309524,0.326900,0.140235
county,2023,acs1,25025,"Suffolk County, Massachusetts",25,025,768425,332924,93360,58662,723321,108444,361135,361135,332924,28211,332924,122262,210662,683900,2114,122262,84348,37914,2794,1052,210662,18485,14426,17523,53322,84348,6540,5026,4042,11809,,3370,4590,1745,1635,8648,330,330,3370,3406,3370,4383,4492,14206,52,4383,3898,2928,65,39,4492,2504,2369,2760,4101,3898,1586,1319,1132,1685,0.149925,0.367237,0.632763,28211,0.078118,2334.00,0.905741,0.689895,1.197087,0.450728,0.492524,0.253116,0.325046,0.140003
county,2023,acs1,25027,"Worcester County, Massachusetts",25,027,866866,336660,94099,48086,841009,92382,357234,357234,336660,20574,336660,220619,116041,433900,1449,220619,152584,68035,2329,962,116041,10537,8820,11274,27553,152584,12387,7178,8819,16954,,3316,3131,1418,887,8760,149,149,3316,3335,3316,4410,4987,7510,41,4410,4886,3491,46,33,4987,1811,1965,2091,3027,4886,1926,1536,1721,2535,0.109847,0.655317,0.344683,20574,0.057593,2352.47,0.615947,0.691618,0.990021,0.408931,0.501409,0.237442,0.297135,0.111113
county,2024,acs1,25001,"Barnstable County, Massachusetts",25,001,232570,112945,87925,61019,229900,18866,167403,167403,112945,54458,112945,91941,21004,692900,1577,91941,50761,41180,2443,972,21004,2127,1157,2208,5071,50761,3370,2982,3871,9532,,3901,5350,3145,395,4439,38,38,3901,3900,3901,3380,3089,16847,196,3380,3606,2734,104,58,3089,1130,714,1290,1652,3606,953,1282,1356,2172,0.082062,0.814033,0.185967,54458,0.325311,2198.12,0.717430,0.552104,1.111402,0.442195,0.502904,0.241430,0.389177,0.187782
county,2024,acs1,25003,"Berkshire County, Massachusetts",25,003,128726,59606,77682,48158,123467,13210,70205,70205,59606,10599,59606,41972,17634,325700,1102,41972,24465,17507,1821,858,17634,1866,498,2321,3486,24465,1906,1248,688,3081,,1379,6035,2996,374,2631,103,103,1379,1385,1379,2094,2116,13890,123,2094,2117,1654,80,48,2116,690,485,915,1165,2117,749,499,357,946,0.106992,0.704157,0.295843,10599,0.150972,1942.05,0.567442,0.582889,0.937669,0.441801,0.463366,0.197686,0.282976,0.125935
county,2024,acs1,25005,"Bristol County, Massachusetts",25,005,588593,234865,81882,44065,576026,57760,246320,246320,234865,11455,234865,149310,85555,504900,1354,149310,97598,51712,2437,911,85555,8175,6839,8996,21663,97598,7601,4404,5725,14464,,2321,4003,1133,763,7228,96,96,2321,2328,2321,3989,3617,16197,56,3989,4354,3252,55,28,3617,1769,1606,1981,3016,4354,1630,1112,1216,2137,0.100273,0.635727,0.364273,11455,0.046505,2047.05,0.661440,0.653660,1.190494,0.445031,0.533844,0.253206,0.329863,0.148200
county,2024,acs1,25009,"Essex County, Massachusetts",25,009,823938,314816,103048,54727,807471,74653,332075,332075,314816,17259,314816,196608,118208,654500,1855,196608,137855,58753,2871,1153,118208,13440,6834,10428,34137,137855,10046,6466,7700,19424,,2768,4431,1695,849,8522,80,80,2768,2773,2768,4445,4509,8620,55,4445,4807,2747,61,34,4509,2054,1727,2243,3472,4807,2060,1372,1826,2311,0.092453,0.624517,0.375483,17259,0.051973,2576.20,0.720053,0.701167,1.114432,0.447558,0.548516,0.288788,0.316535,0.140902
county,2024,acs1,25011,"Franklin County, Massachusetts",25,011,70871,31990,74547,43123,69550,6322,34626,34626,31990,2636,31990,23000,8990,355400,1112,23000,13480,9520,1900,808,8990,410,1385,1022,2099,13480,1255,656,637,1987,,652,6128,1865,506,1563,49,49,652,651,652,1141,1171,15074,59,1141,1123,989,93,57,1171,285,633,570,727,1123,498,370,323,654,0.090899,0.718975,0.281025,2636,0.076128,1863.67,0.596671,0.586087,1.019491,0.433552,0.546830,0.233482,0.336424,0.147404
county,2024,acs1,25013,"Hampden County, Massachusetts",25,013,464151,184235,71402,38309,453216,73796,198044,198044,184235,13809,184235,117016,67219,331300,1158,117016,74055,42961,2038,841,67219,4894,3180,7422,18389,74055,5200,3366,4810,10761,,2421,4274,1121,836,7174,123,123,2421,2425,2421,4057,3454,6882,52,4057,4017,3002,64,32,3454,1388,1003,1938,3075,4017,1331,1083,1580,1998,0.162827,0.635145,0.364855,13809,0.069727,1785.05,0.648721,0.632862,1.141705,0.471135,0.504099,0.273568,0.325933,0.145311
county,2024,acs1,25015,"Hampshire County, Massachusetts",25,015,165399,63886,81732,43603,141460,17177,67378,67378,63886,3492,63886,42409,21477,413400,1425,42409,23371,19038,2158,967,21477,2560,1007,2496,6463,23371,947,710,2363,2112,,1217,6643,1998,576,2543,142,142,1217,1243,1217,1762,2115,18321,65,1762,1900,1559,107,44,2115,1111,530,1182,1582,1900,402,362,915,834,0.121427,0.663823,0.336177,3492,0.051827,2043.30,0.697401,0.551086,1.056135,0.473254,0.583229,0.300927,0.262376,0.090368
county,2024,acs1,25017,"Middlesex County, Massachusetts",25,017,1668956,642129,133617,70054,1609237,126373,670331,670331,642129,28202,642129,387096,255033,759800,2257,387096,249970,137126,3236,1245,255033,23042,13773,19292,56193,249970,16025,12989,13463,25727,,3550,3961,1305,1300,9853,179,179,3550,3580,3550,6197,6314,14059,40,6197,6182,4348,49,28,6314,2614,2409,2841,4626,6182,2865,1896,2126,2901,0.078530,0.602832,0.397168,28202,0.042072,3340.42,0.675663,0.645757,0.968739,0.372707,0.440335,0.220336,0.272849,0.102920
county,2024,acs1,25021,"Norfolk County, Massachusetts",25,021,740754,285540,139076,72231,724785,45567,297840,297840,285540,12300,285540,197109,88431,722600,2168,197109,131291,65818,3275,1229,88431,7977,3390,8147,21297,131291,9890,4648,7845,13643,,2795,5101,2125,558,6487,151,151,2795,2796,2795,3931,4236,12840,64,3931,4691,3849,79,53,4236,1725,1039,2019,2510,4691,1616,1221,1693,1779,0.062870,0.690303,0.309697,12300,0.041297,3476.90,0.623544,0.666083,0.941931,0.353476,0.461501,0.240832,0.274398,0.103914
county,2024,acs1,25023,"Plymouth County, Massachusetts",25,023,542090,206821,113188,56057,532227,37552,220710,220710,206821,13889,206821,161294,45527,602600,1875,161294,110224,51070,2837,1107,45527,6041,1441,4107,11455,110224,9501,6107,6494,14593,,2701,5090,1737,704,5302,126,126,2701,2712,2701,4637,4025,11703,94,4637,4738,3868,70,45,4025,1776,554,1291,2019,4738,2001,1426,1878,2450,0.070556,0.779872,0.220128,13889,0.062929,2829.70,0.662614,0.683373,1.002580,0.391208,0.506161,0.251609,0.332913,0.132394
county,2024,acs1,25025,"Suffolk County, Massachusetts",25,025,793144,338198,97195,58355,746930,116261,363590,363590,338198,25392,338198,123429,214769,708600,2192,123429,87878,35551,2982,992,214769,25380,14198,19202,49188,87878,5083,3960,7628,12385,,3562,4527,1903,1592,10501,480,480,3562,3406,3562,4769,5956,16066,59,4769,4021,3310,107,70,5956,3432,2580,2431,4571,4021,1351,1114,1687,2249,0.155652,0.364961,0.635039,25392,0.069837,2429.88,0.902104,0.711972,1.227224,0.408251,0.502717,0.229027,0.330640,0.140934
county,2024,acs1,25027,"Worcester County, Massachusetts",25,027,881248,340956,96602,48350,854568,81653,358354,358354,340956,17398,340956,223324,117632,465500,1563,223324,149749,73575,2432,995,117632,13340,7145,8379,31043,149749,11767,8134,7999,16932,,2577,3484,1231,1182,8641,87,87,2577,2592,2577,4903,5097,6870,67,4903,6052,4410,38,30,5097,2432,1612,1606,3837,6052,1883,1856,1837,2400,0.095549,0.654994,0.345006,17398,0.048550,2415.05,0.647192,0.670546,1.007018,0.412000,0.509275,0.263899,0.299381,0.113069
